credit_score,income,loan_amount,employment_status,loan_purpose,previous_defaults,risk_label
717,144124,9578,0,2,3,0
646,107892,7590,0,1,3,0
828,108559,12372,0,1,3,0
478,140044,8573,0,0,2,0
481,59148,7978,0,3,3,0
324,102928,48407,0,2,3,0
479,40698,14422,2,2,3,1
800,62470,48626,0,3,1,0
460,112071,28697,0,2,3,0
476,71660,35820,0,2,0,0
584,73910,42743,1,1,3,0
362,55450,9925,0,2,3,0
455,76463,34430,0,2,2,1
768,53757,33834,0,2,3,0
348,98012,29435,1,3,1,0
383,126750,26676,1,0,4,0
660,147043,48554,0,1,3,0
447,90247,24814,1,0,3,0
641,92015,19716,1,2,3,1
775,51390,32528,0,2,2,1
362,76116,6995,0,2,4,0
659,33161,27414,0,0,2,0
626,52152,18844,1,3,2,0
440,100171,41659,0,3,2,0
514,126379,20522,2,1,1,0
734,115833,44913,0,0,4,0
617,40836,13498,0,3,1,0
331,110367,47322,1,1,1,0
584,86543,7102,0,2,4,0
604,75648,40798,0,2,1,0
728,46331,13524,0,1,4,0
776,125992,35846,0,3,3,0
585,30763,13107,0,0,2,0
443,89444,23268,0,1,1,0
723,113109,29399,0,3,4,0
318,39187,14624,2,1,0,0
317,31957,32126,2,3,1,0
670,24379,28131,0,2,1,0
474,47959,25714,1,1,4,0
493,102018,45631,0,0,0,0
801,143076,40877,0,1,0,0
412,47105,23570,0,2,3,0
413,20877,17482,2,2,1,0
521,68353,39318,2,3,2,0
563,103788,38414,0,2,1,0
354,116870,26040,0,3,2,0
757,104585,18407,0,2,2,0
461,103308,38305,0,3,4,0
679,71567,19166,0,0,1,0
386,77913,11572,0,3,4,0
354,22637,38002,1,3,3,0
775,92778,31972,0,0,2,0
477,62025,47464,2,3,0,0
690,126917,27923,0,3,2,0
648,121187,6909,0,0,3,0
307,119508,49918,1,2,2,0
612,102464,37848,1,1,4,0
742,48742,7083,0,3,1,0
627,31831,22140,0,2,0,0
353,133768,7670,2,1,4,0
538,135911,41519,0,0,1,0
528,105092,49512,0,3,0,0
350,110879,43029,0,3,3,0
563,108370,19691,1,0,2,0
717,146537,44620,1,3,0,0
395,66762,39262,2,1,3,0
387,124824,30595,0,1,1,0
377,118958,38440,0,0,0,0
587,108741,13630,0,3,3,0
419,38830,36250,1,2,1,0
790,75044,33798,0,3,4,0
751,93948,48036,0,0,2,0
799,89202,38212,0,2,3,0
464,57045,46925,0,1,4,0
481,106322,16982,1,1,1,0
768,137257,13655,0,2,0,0
306,91051,23582,2,2,2,0
629,127509,40055,0,0,1,0
450,46627,49725,2,3,3,0
384,35198,9008,1,1,2,0
446,89521,49464,0,3,4,0
680,131439,46872,2,1,2,0
847,126471,5496,0,3,4,0
584,49475,39231,1,1,1,0
381,125752,28212,1,3,0,0
813,138998,25637,1,0,2,0
822,39403,21877,0,1,0,1
685,23681,22810,0,0,0,0
770,111555,14884,0,1,2,0
418,138884,7723,0,1,2,0
695,113122,9761,1,1,0,0
831,135260,12630,1,3,3,0
560,62292,21375,2,1,3,0
555,123057,46509,0,0,2,0
525,125386,30218,1,3,0,0
352,122306,35565,2,3,0,0
799,25629,42118,1,1,1,0
805,113246,37975,0,2,0,0
663,115864,32073,0,3,3,0
579,97814,9190,0,1,1,0
457,28417,6883,0,0,3,0
358,138888,7886,0,2,4,0
427,54765,13953,2,3,2,0
414,94499,13381,0,2,4,0
508,134088,28238,0,3,2,0
825,76574,18795,0,2,3,0
820,122828,35428,1,2,3,0
536,110545,14638,2,0,4,0
580,148206,9931,1,2,2,0
658,47675,47623,0,0,2,0
500,145609,43492,0,1,1,0
577,121711,31411,1,3,0,0
534,92267,25534,0,0,1,0
793,60563,41828,0,3,3,1
303,31332,34181,0,0,4,0
741,143745,42533,0,3,2,0
328,39177,24996,1,0,1,0
408,109254,11553,0,3,4,0
374,88447,45146,0,1,4,0
445,77104,23073,0,3,0,1
427,104335,12130,0,1,2,0
341,134938,34405,0,1,4,0
655,100730,40954,0,1,2,0
340,24951,10789,0,2,1,1
333,126402,33930,0,3,4,0
316,48333,22529,0,2,4,0
452,41673,12942,0,2,1,1
677,134421,12548,0,3,2,1
641,60870,23296,0,1,2,1
326,141945,37244,1,2,4,0
586,147536,5296,0,2,1,0
467,91101,7409,0,0,3,0
567,42821,39229,0,3,2,0
754,45494,35846,2,2,3,0
700,119477,40036,0,3,4,0
775,146083,44322,0,3,3,0
429,94160,32167,1,2,3,0
662,132698,33991,1,3,2,0
591,131560,22801,1,1,4,0
670,20835,12358,0,2,3,0
328,145126,27588,0,2,2,0
448,38646,22671,0,2,3,0
595,143777,22502,2,0,2,0
310,97360,30128,0,0,4,0
811,57335,36645,0,0,1,1
412,89351,12637,2,0,2,0
486,134934,5660,2,2,2,0
526,22429,46675,2,1,3,1
609,61950,11922,1,3,4,0
397,80654,33161,2,3,0,0
354,127422,49721,0,2,0,0
705,129934,8970,1,1,1,0
368,139975,8407,1,3,4,0
611,88143,32843,0,1,2,0
588,111186,14046,0,2,0,0
847,124234,28800,2,0,1,1
447,117889,19547,0,1,4,0
766,122326,42528,1,3,1,0
543,97527,36389,0,3,0,0
790,106704,35346,0,3,3,0
806,51099,27748,0,0,3,0
664,59385,41855,0,1,4,0
781,55919,30848,0,1,1,0
500,116952,12607,0,3,2,0
453,80782,41787,0,1,0,0
749,91116,38583,0,3,3,0
800,92590,17563,0,1,3,0
372,109626,38690,0,0,1,0
595,60387,34176,1,0,3,1
316,35823,19925,0,2,1,0
516,66015,26251,0,2,0,0
360,122877,22648,0,2,1,0
341,35339,25108,0,1,3,0
324,149949,15979,0,0,1,0
338,23491,7722,0,0,3,0
430,20706,10355,1,0,4,0
797,117493,33799,2,3,3,0
528,35728,40318,1,1,3,1
407,26997,37705,0,1,3,0
471,123537,48909,0,2,4,0
734,80408,28070,0,3,2,0
777,78097,16284,1,3,3,0
401,149526,26737,2,0,2,0
823,58523,28241,0,2,0,0
574,141648,32414,0,1,1,0
343,45163,25895,0,3,2,0
316,37718,31771,1,0,0,0
629,107508,6384,1,1,1,0
796,103767,27689,0,0,3,0
311,59619,32475,2,1,3,0
617,32126,13252,0,0,3,0
515,109131,35844,2,1,4,0
638,84926,35151,2,2,4,0
380,60633,45006,1,1,4,0
784,97654,28365,0,1,4,0
673,23317,11026,0,1,0,0
499,64980,37767,0,0,0,0
836,64115,33523,0,3,3,0
765,81646,15482,1,1,1,1
388,63158,46432,0,1,4,0
567,75963,30108,0,2,1,0
788,67631,5493,1,1,0,0
837,69316,21465,0,2,4,0
346,125364,44767,0,1,0,0
587,79342,34550,0,0,0,0
315,35504,18833,0,3,2,0
700,88593,7970,0,3,0,0
385,46660,37779,1,3,3,0
549,57196,34958,0,0,0,0
690,85938,22145,2,2,4,1
634,28605,40953,0,3,3,0
818,77388,6806,0,0,0,0
436,101297,10664,0,0,3,1
797,75501,33900,0,1,0,0
776,73309,19126,0,2,3,0
522,47043,10154,0,0,1,0
671,53635,27208,0,2,2,0
701,99315,18767,0,3,3,0
742,100691,25043,0,3,4,0
789,126514,6525,0,3,2,1
572,53132,38528,1,1,2,0
825,109387,21978,2,1,0,0
458,35366,6055,0,2,3,0
451,113944,15046,0,2,2,0
487,92107,40851,2,1,4,0
397,82580,20678,0,0,4,0
430,135267,49876,2,2,4,0
470,142362,31624,0,2,0,0
482,77889,47418,1,3,1,0
663,99553,43725,0,2,3,0
338,59236,10255,2,2,2,0
826,24150,14411,0,0,3,0
796,131369,47459,0,2,2,0
815,39423,41163,0,0,0,1
648,24137,38971,0,3,3,0
696,49992,36235,1,1,0,0
460,130540,24194,0,3,0,0
315,114438,24476,2,0,3,0
792,135140,8044,0,0,3,0
725,64921,45040,1,2,2,0
407,141225,26057,0,2,4,0
749,99369,8514,2,1,0,0
610,86917,14990,2,0,1,0
469,93690,43960,0,0,2,0
845,54235,48535,1,3,2,0
713,98975,12507,1,1,4,0
550,39122,9857,0,3,4,0
440,43956,17118,0,2,0,0
573,83879,8146,0,2,2,0
715,78560,31401,1,3,2,0
338,141435,31177,0,2,1,1
328,102800,43524,0,3,0,0
776,130310,9414,0,0,0,0
617,88685,22494,0,0,4,0
544,44660,25437,1,2,0,1
571,148029,8937,2,1,1,0
739,126196,41731,0,0,0,0
538,106064,26326,0,2,3,0
676,134440,43665,1,1,3,0
565,21168,13974,0,2,1,0
658,65124,22500,0,3,4,0
639,55897,6750,0,2,2,0
688,35032,9027,0,3,0,0
302,72797,49296,0,0,4,0
728,55294,10745,1,0,4,1
441,63827,26448,0,2,0,0
675,23516,47447,1,1,2,1
623,39751,33451,0,2,0,0
445,50373,33207,0,2,2,0
592,142026,10938,1,0,1,1
731,50270,17150,0,0,2,0
698,30386,18406,0,2,4,0
643,121859,24781,0,0,1,0
439,84817,42621,0,3,3,0
486,85184,23325,1,2,1,0
360,134316,8148,0,0,2,0
679,99693,33879,1,2,1,0
739,57879,12933,0,0,1,1
618,125056,14436,0,3,3,0
601,69597,22669,2,3,2,1
643,59132,11474,1,2,4,0
310,23626,16228,0,3,1,0
361,105936,38538,0,3,0,0
525,122179,6843,0,0,4,0
452,123801,5073,0,2,1,0
609,101515,21059,1,0,4,0
542,97065,25733,1,0,0,0
792,75390,45768,0,1,4,0
665,36645,30395,1,3,4,1
629,111960,25202,0,0,0,0
406,74144,18273,0,0,0,0
525,33382,38099,0,0,0,0
517,24025,12512,2,3,3,0
805,63226,33231,1,3,0,0
558,99380,28274,0,3,4,0
816,142971,42699,0,2,0,0
353,138910,27409,2,0,1,0
346,89711,10113,0,3,0,0
820,116055,46187,0,0,0,0
398,146189,7881,2,2,2,0
319,94710,24249,1,1,4,0
789,23443,40343,0,2,4,0
718,41395,17714,0,3,1,0
361,30725,43953,0,3,3,0
444,53461,13656,0,2,2,0
515,147000,10741,2,0,1,0
302,61115,21661,0,3,1,0
459,130084,36555,1,3,4,1
419,116887,33690,0,2,2,0
388,103732,37833,0,0,4,0
628,132145,42030,0,2,3,0
656,99790,10704,1,2,4,0
566,99557,46362,0,0,0,0
622,131672,17175,0,0,4,0
840,91260,17696,0,1,0,0
494,48690,44023,0,2,1,0
631,21407,45209,0,0,3,0
469,93568,33054,0,3,0,0
820,78560,26076,0,1,3,1
762,67340,19986,0,2,4,0
339,37794,19440,0,0,4,0
836,39881,12960,0,1,1,0
560,106292,27462,0,1,4,0
694,125698,22821,0,3,0,0
525,114952,32258,0,1,1,1
423,69703,32353,1,2,3,0
337,64354,28416,0,0,1,0
627,111288,27115,0,1,3,0
550,98462,29968,0,1,2,0
475,139020,27731,1,2,0,0
753,119301,27785,1,3,0,0
336,138764,44397,0,3,3,0
615,34390,18828,0,0,4,0
413,124403,9541,0,2,4,0
339,107475,45644,2,3,2,0
600,47307,18311,1,0,3,0
523,116364,35531,0,0,2,0
617,114049,19588,1,3,3,0
648,138740,17380,1,2,2,1
414,139991,47645,0,1,3,0
622,44502,22818,0,3,0,0
339,115599,35857,0,1,2,0
339,42486,26711,0,1,2,0
588,131813,10097,1,2,3,0
561,58258,33393,0,2,1,0
515,77716,27076,1,0,1,0
446,117228,23738,2,2,0,0
635,123920,34317,0,0,4,0
467,101494,44229,0,3,4,0
391,120552,12044,1,1,0,0
652,102768,10497,1,2,4,0
662,30748,18751,1,3,3,0
644,82785,34882,0,0,1,0
469,96050,47072,0,2,0,0
655,42738,48194,0,1,3,0
490,94231,48826,2,3,0,0
721,93606,27449,0,2,1,0
306,113301,49028,2,2,4,0
432,61662,38402,0,3,3,0
330,138313,37543,2,0,1,1
834,116297,34362,0,0,0,0
725,102234,32315,0,2,2,0
693,35123,32746,0,0,3,0
662,120680,15057,0,0,0,0
736,45616,47915,0,3,0,0
381,122682,26061,0,0,1,0
655,31182,39157,0,0,0,0
557,110369,16322,0,3,3,0
823,118878,9276,1,2,3,1
594,82013,17306,0,2,0,1
523,51331,39017,0,3,1,0
824,66098,32742,1,1,3,0
345,46128,36600,0,3,2,0
412,51556,22629,2,1,4,0
532,147398,13245,0,0,1,0
316,107505,36414,0,2,1,1
659,41876,48870,0,1,4,0
522,28949,35098,0,1,4,0
747,71962,15588,0,0,3,0
664,110054,5442,0,2,0,0
625,143984,44744,0,0,0,0
766,91206,42443,0,2,2,0
713,44099,16803,0,2,0,0
754,124871,45721,0,0,2,1
532,32716,42145,0,1,2,0
523,72611,15599,0,3,1,0
711,58885,12058,0,2,1,0
634,73144,22206,0,2,3,0
521,85220,16894,0,3,4,0
336,27837,7939,0,3,4,1
577,69355,27149,0,0,2,0
495,67299,6031,0,2,4,0
783,39159,15208,0,0,2,0
541,145212,5562,0,3,4,0
623,136680,48498,0,0,3,0
491,136931,25951,0,2,1,0
316,126802,33351,0,1,1,0
823,136375,23680,0,1,2,0
700,122413,26586,1,2,4,0
321,71012,14308,1,0,0,1
773,79305,14609,0,3,3,0
419,107096,34495,0,3,4,0
509,37106,22675,0,1,0,0
605,78123,33064,1,0,3,0
569,131825,13720,0,3,3,0
584,28720,47940,2,3,1,0
526,57661,19457,0,2,2,1
680,135031,7939,0,0,4,0
759,113898,43203,0,0,3,0
306,113794,28365,0,3,4,0
328,107318,10392,0,0,3,0
332,126704,30905,0,0,1,0
378,41120,12972,0,0,2,0
758,39790,35653,1,2,0,0
837,78655,31329,0,3,0,0
781,79643,24184,0,1,1,0
729,113448,19799,0,0,3,0
584,67374,20052,1,3,1,0
815,62907,11044,1,1,2,0
398,70071,24871,0,2,0,0
696,140507,28767,0,3,4,0
788,54812,25234,0,2,0,0
338,69570,26381,0,3,2,0
570,70901,22274,0,2,3,0
456,80186,27304,2,3,1,0
374,142066,22572,0,2,0,0
429,148364,43412,0,1,0,0
383,70251,30965,0,3,4,0
321,85171,23384,1,1,1,0
758,56160,22855,0,0,4,0
838,39156,22920,0,1,4,0
681,96208,21702,0,3,3,0
739,99980,42921,0,1,0,1
320,92320,6894,1,3,1,0
602,37929,35985,0,2,3,0
383,86606,33287,1,0,3,0
752,108442,12991,0,1,3,0
686,120154,20439,0,0,2,1
806,82559,34084,1,1,2,0
556,74205,47235,0,3,3,0
826,130694,32659,0,1,2,0
461,88475,29976,0,0,1,0
462,84341,43703,0,1,0,1
823,115377,22107,0,0,1,0
570,62863,7329,2,0,0,0
791,101837,47095,2,3,2,0
507,85439,7770,0,2,1,0
838,27194,9846,0,2,4,0
359,91387,21651,0,1,3,1
729,141361,19633,0,0,0,0
608,101914,18628,0,3,0,1
819,86214,5569,0,2,4,1
326,116176,6973,0,3,4,0
498,119292,40590,0,3,3,0
686,49777,38038,0,0,2,0
648,145355,12641,0,1,1,0
835,46183,13930,1,0,1,0
677,47445,11680,0,2,1,0
826,87038,6257,0,2,2,0
452,136477,13250,0,3,3,0
505,107201,43138,0,0,1,0
754,36198,33757,0,0,0,0
572,41411,9858,0,3,0,0
535,70577,46349,2,1,0,0
820,35867,18491,0,3,4,0
800,82501,30294,0,3,4,0
416,34266,11908,0,2,2,0
685,59422,15844,2,0,1,0
643,55208,42629,1,2,4,0
694,128538,7911,1,3,0,0
363,141544,13991,0,0,4,0
371,51213,16572,2,3,0,0
573,27367,48066,0,3,1,0
619,144158,34693,0,1,2,0
637,99026,45004,1,2,3,1
665,55362,43333,2,2,3,1
794,139377,22493,0,3,0,0
465,71588,44697,0,1,4,0
843,58285,22634,0,3,4,0
310,146683,29561,0,3,0,0
600,145085,23033,0,3,1,0
401,94755,12351,2,1,0,0
724,91846,30921,0,0,1,1
691,56307,24340,1,1,2,0
513,115167,19901,1,3,2,0
387,100280,15638,0,0,0,1
700,39867,43596,1,3,2,1
345,76523,26378,0,1,4,0
762,104161,49324,0,1,1,0
609,26378,27820,0,0,3,0
385,104685,30060,0,1,3,0
391,127669,37642,1,3,2,0
541,96958,30378,2,0,1,0
301,47926,13150,0,2,4,0
524,123215,47875,1,3,3,0
415,118707,29059,0,2,4,0
402,33180,39525,1,0,4,0
493,112837,23193,0,0,3,1
465,138070,48967,0,3,3,0
389,56931,32801,0,1,2,0
421,44014,31246,0,3,1,0
442,134775,17807,0,1,0,0
405,116472,22535,2,1,1,1
727,99872,10492,0,3,0,0
604,78502,36357,2,0,3,0
616,107736,11302,1,3,4,0
308,25470,37314,0,2,1,0
372,116395,9747,0,0,4,0
658,34953,46170,1,1,1,0
522,124580,15686,0,0,1,0
715,58507,42449,0,3,4,0
669,138961,23891,0,0,2,0
563,112969,41196,0,1,3,0
617,111493,34928,2,1,2,0
383,26523,12494,0,0,2,0
617,106923,41723,0,2,1,0
410,77190,34877,0,1,3,0
550,67761,32981,1,2,1,0
682,51169,19026,1,1,0,0
306,65641,25422,0,0,1,0
758,42990,14244,0,1,4,0
383,49661,38481,0,2,1,0
507,33419,28644,0,2,0,0
689,34457,48848,0,0,1,0
613,87600,13521,2,2,0,0
321,123619,6746,0,2,3,0
709,96102,22591,0,0,1,0
814,53085,31718,1,1,0,0
426,117064,7696,0,0,3,0
313,70654,17012,0,1,4,0
311,26130,19688,0,1,2,0
386,125723,28457,0,1,0,0
823,22042,10036,2,3,4,1
836,90134,44895,0,1,3,1
600,62982,34960,0,0,4,0
542,118422,41486,0,0,1,1
421,85185,27159,2,0,2,1
446,53477,12910,0,3,0,0
655,134161,7693,0,2,3,0
608,72709,20858,2,3,2,0
587,48716,33810,0,0,3,0
606,98137,25092,1,0,4,0
848,56018,28243,0,2,3,0
651,28061,35505,0,3,3,0
611,28609,12692,0,0,4,0
358,55371,33555,0,1,4,0
334,130350,11398,0,1,2,0
744,103021,12252,0,0,0,0
392,40805,16721,0,1,4,0
506,27857,22939,0,2,2,0
652,31620,16825,0,0,3,0
631,28177,30251,2,3,3,0
458,50111,41955,0,0,1,0
323,140770,29151,2,2,4,0
703,108578,5036,0,3,2,0
815,104181,33412,0,2,2,0
663,109941,23171,0,1,0,0
681,147049,44051,1,1,2,0
831,31826,37761,1,1,4,0
451,33890,20202,0,2,2,0
719,102428,13060,2,2,1,0
549,137067,13065,0,0,3,0
416,146044,34873,0,3,3,0
811,78031,41648,2,3,2,0
634,139440,10932,1,2,2,0
717,132134,31470,2,2,2,0
594,95020,13328,0,1,2,0
670,25495,11333,0,2,1,0
485,48481,16268,0,1,4,0
545,31267,10067,0,2,1,0
567,137897,49843,1,3,1,0
536,125702,22045,0,0,1,0
829,26743,45741,0,2,3,0
320,74800,27770,0,1,1,0
819,123475,47770,0,0,2,0
399,68773,12887,0,1,1,0
777,77042,38182,0,1,2,0
597,69476,37370,1,0,4,0
825,147967,44618,0,0,3,1
633,112105,29918,1,0,4,0
301,48552,40497,0,2,4,0
674,85242,33026,0,0,3,0
592,65772,16929,0,2,2,0
617,63730,41665,1,3,2,0
801,48948,39937,0,3,2,0
680,96311,18563,0,1,3,0
313,89093,33546,0,1,1,0
803,89123,17888,0,2,0,0
530,36535,42338,1,1,1,0
383,86490,39283,1,3,1,0
429,66562,21958,0,2,4,0
444,139042,17634,0,2,0,0
327,145251,24251,1,0,2,0
365,109080,24928,0,2,1,0
462,147844,42245,0,1,3,0
528,78535,21455,0,3,1,0
560,118991,32144,0,1,2,0
748,61269,33013,0,3,1,0
723,100674,26876,1,0,4,0
759,62462,31962,0,3,4,0
600,23127,33084,0,0,1,0
602,43147,47319,1,1,4,0
586,65528,26143,0,0,3,0
694,97095,31091,0,2,0,0
309,133100,19179,0,2,1,0
569,88931,37807,0,3,3,0
660,110925,15222,2,1,3,0
556,86381,28949,1,1,3,0
432,119468,21116,0,3,2,0
575,131258,42564,1,2,1,0
812,83749,42374,0,0,1,0
612,58672,22667,2,3,1,0
583,33731,13775,0,0,0,0
420,144647,34655,0,0,3,0
406,74512,19193,0,1,1,0
503,118658,19676,0,2,4,0
464,71024,35776,0,0,2,0
604,136712,48225,0,2,0,0
796,121121,22199,1,1,2,0
455,23832,20066,0,3,3,0
666,52332,23895,2,3,4,0
550,32467,5246,0,1,3,0
633,61025,26209,0,1,1,0
810,33107,44284,2,0,2,0
592,148347,21800,0,1,4,0
319,97994,28086,1,3,2,0
581,114202,25101,1,2,0,0
300,63481,21491,0,2,4,0
418,22581,32207,0,2,0,0
334,95118,46798,0,2,4,0
497,144010,25897,0,1,1,1
784,71638,34492,0,1,2,0
358,143714,6421,1,2,2,0
460,28418,37015,0,1,3,0
505,113627,17970,0,0,4,0
311,49113,12283,0,1,4,1
789,104363,33488,2,0,0,0
575,143607,20945,0,0,4,0
541,83044,5255,0,1,2,0
515,99955,16019,0,2,4,0
550,81030,20487,2,0,3,0
425,31814,46797,2,1,3,0
516,119340,24346,0,3,2,1
605,30024,40050,1,2,2,0
484,83288,13744,0,3,2,0
338,129236,29756,2,0,4,0
522,77836,22861,0,3,4,0
483,27435,30146,0,1,1,0
794,87084,47687,0,2,0,0
726,144023,26976,0,0,4,1
477,90601,5591,1,1,1,0
727,108416,11277,0,2,1,0
593,140871,7260,2,0,3,0
450,138645,48907,0,0,4,0
683,23407,5347,0,0,1,0
607,118943,29741,0,0,3,0
635,52940,42211,0,3,0,0
674,25666,48856,1,3,3,0
307,57122,46542,0,3,0,0
640,138647,11869,0,0,2,0
428,45092,33082,0,3,2,0
651,149753,27080,0,2,3,0
657,143402,33979,2,0,2,0
816,95645,24422,0,2,4,0
794,121190,40613,1,2,3,0
385,120468,27993,0,3,1,0
474,149207,17386,0,0,4,0
492,46505,39033,2,3,3,0
610,56713,17938,0,3,0,0
418,74387,16159,0,3,2,0
517,63169,7274,0,0,2,0
726,93282,23854,0,0,2,0
713,97511,36815,1,3,3,0
413,71742,15482,0,2,4,0
444,60522,23961,2,2,0,0
837,101132,25044,0,0,2,0
602,139622,38836,0,1,4,0
644,138764,26975,0,3,1,0
300,123489,19706,0,3,1,0
446,119397,10974,2,1,0,0
586,23880,15928,0,0,2,0
352,63454,26213,0,2,1,0
603,75711,6950,1,0,4,0
368,63539,24477,1,2,4,0
660,128984,15411,0,2,1,0
519,88321,26695,1,0,2,0
460,107985,22771,0,3,0,0
388,34799,9274,0,3,2,0
458,134584,40053,0,3,3,1
788,124843,12045,0,2,1,0
623,80102,34714,0,3,3,0
680,70726,39386,0,2,1,0
401,68784,48747,0,3,0,0
793,140364,13562,1,0,2,0
318,133034,32759,2,1,2,0
753,63333,17026,1,2,1,0
781,60828,45611,0,0,4,0
696,89526,36589,0,2,3,0
578,74362,47663,0,2,2,1
664,73997,36738,0,0,2,0
630,143973,31844,0,3,1,0
643,70341,28447,0,2,4,0
754,39073,29879,1,1,3,0
364,122399,16966,0,1,4,0
375,34549,22732,0,0,4,0
442,103795,10289,0,1,1,0
772,76920,25012,0,0,4,0
716,105326,23812,0,0,3,0
604,95515,40801,0,2,0,0
796,149392,46628,0,0,0,0
590,40316,45581,0,0,3,1
401,46183,28092,0,3,1,0
566,113860,30105,1,2,2,0
302,44624,19294,1,1,1,0
384,82515,8621,0,3,3,0
627,123712,37442,0,3,4,0
749,105781,26699,1,2,0,0
753,66705,7347,0,2,4,0
520,109326,34486,0,3,1,0
453,46756,22110,0,2,3,0
311,80390,9923,0,2,0,0
432,88369,20611,1,0,3,0
603,90821,24199,1,2,0,0
592,29589,14066,0,0,0,0
599,133012,41047,0,3,0,0
342,34116,31754,0,3,1,0
642,93181,41575,0,1,3,0
625,64786,29260,2,2,2,0
797,114686,21991,0,3,2,0
663,143711,27553,0,0,2,0
726,96425,29174,1,3,3,0
320,50286,26957,1,2,4,0
706,123081,5634,1,1,3,0
635,35994,34881,0,1,0,0
416,121039,17771,0,3,4,0
423,131915,23298,0,1,0,0
698,142961,19340,0,2,0,0
350,110198,38356,2,2,3,0
623,124672,40999,0,1,2,0
440,46639,11351,2,0,4,1
769,37205,8838,0,1,1,0
633,76677,6973,1,1,2,0
672,52930,42812,0,3,1,0
793,93313,15247,2,0,3,0
838,113851,49440,0,1,4,0
455,133153,36655,0,3,3,0
590,112509,48039,1,3,1,0
443,38316,11683,0,3,0,0
405,47304,16244,0,2,3,0
719,121839,34058,2,3,4,0
301,116058,44551,0,3,3,0
389,107876,43362,0,2,2,0
644,105366,33371,0,2,3,0
649,33403,8822,1,3,1,0
758,100052,33878,0,1,3,0
562,137478,41157,0,0,4,0
650,104627,10914,0,2,3,0
407,93495,23164,0,0,3,0
338,51932,32180,0,2,4,0
458,116090,8688,0,3,3,0
611,56701,19683,0,2,4,0
540,23385,18080,0,3,1,0
744,141324,35953,0,0,4,0
597,119226,14916,0,1,1,0
335,77241,34677,0,3,1,0
383,30367,32360,0,0,4,0
751,85030,42805,0,0,3,0
684,66505,18453,0,2,2,0
471,144462,27703,0,3,4,0
675,53332,13640,1,0,3,0
661,105178,34263,0,1,1,0
440,96325,37849,0,2,0,0
417,55268,44046,0,2,2,0
576,106486,21078,0,0,3,1
519,45563,28383,2,3,2,0
325,125185,20536,0,2,0,0
820,56404,12410,0,3,0,0
309,75182,20926,0,0,0,0
677,52991,39248,0,0,4,0
451,124601,36159,0,3,2,1
348,67663,47039,0,1,4,0
453,85886,41366,1,2,0,0
592,142002,45761,0,0,3,0
349,103848,34090,0,1,0,0
830,44127,25567,0,1,4,1
359,77692,48663,0,3,0,0
466,114389,20367,0,3,0,0
501,57500,45412,0,3,4,0
445,53785,49716,0,1,4,0
738,104146,40367,0,2,3,0
541,109126,10813,1,3,4,0
782,114979,41621,0,2,3,0
407,67997,39269,1,3,1,0
525,27170,46190,0,1,1,0
731,33303,45318,0,2,4,0
718,91743,42018,2,2,0,0
754,97852,44759,0,1,2,0
459,55187,21498,1,2,0,0
822,85034,30989,1,1,4,0
376,91776,42174,0,1,3,0
808,21893,30568,0,0,0,0
740,33753,6041,0,3,1,0
553,58090,44695,2,0,4,0
619,84922,35099,1,1,0,0
562,96768,29364,0,1,0,0
673,79412,45639,0,2,3,0
466,142406,44143,0,1,3,0
758,76030,28482,0,1,3,0
579,37509,8676,0,1,2,0
601,88653,26781,0,3,4,0
830,56929,35048,0,0,4,0
517,149626,8065,0,0,1,0
401,68291,7036,1,3,1,0
587,24042,40814,2,3,4,0
466,82574,21924,1,3,0,0
335,57201,37844,1,0,4,0
652,112282,21407,0,0,2,0
372,34016,26518,0,1,1,0
652,45022,22059,0,0,1,1
369,120962,28052,1,2,1,0
724,47938,9267,2,0,4,0
816,63678,10988,1,3,1,0
727,138171,32974,1,0,1,0
838,149638,29036,0,1,4,0
459,121248,13680,0,0,0,0
448,81720,6485,0,3,1,0
529,125514,19713,0,2,1,0
366,76805,25043,0,3,1,0
680,94323,7419,0,2,2,0
357,21986,41263,0,1,4,0
558,96478,22140,0,1,1,0
641,102994,48484,0,0,2,0
429,32161,17961,0,1,0,1
471,40689,48075,0,1,0,0
508,147101,11487,0,3,2,0
653,114699,36110,0,3,0,1
770,80924,47432,1,0,3,0
415,121311,21360,0,0,0,0
563,119273,41843,0,0,3,0
741,94308,29882,1,0,2,0
847,121128,22502,1,3,3,0
752,83745,12631,1,0,0,0
776,146881,8017,0,0,1,0
586,21211,25725,0,1,3,0
602,20229,29762,0,0,0,0
610,138972,5784,0,2,1,0
507,68542,33020,2,1,2,0
745,34345,43459,0,3,2,0
354,121489,20765,0,2,4,0
311,51819,36127,0,0,2,0
699,67779,8196,0,1,4,0
814,102421,14552,0,0,2,0
841,112244,46300,1,1,2,0
536,85584,36921,1,0,2,1
578,39950,9746,2,2,4,0
647,35173,7999,0,3,4,0
403,137743,49070,0,2,3,0
816,78032,20595,0,2,0,0
547,135074,27063,0,3,0,0
663,119273,11200,2,1,0,0
620,48036,43164,0,1,2,0
585,143885,28377,1,3,0,0
448,132857,18410,0,0,4,0
383,91356,8598,0,1,3,0
705,34292,15564,0,2,1,0
755,23052,35898,0,3,3,0
460,64377,25598,1,2,0,1
759,109317,45404,0,1,0,0
849,87838,22862,1,3,4,0
799,87819,15265,1,3,3,0
808,133689,14705,0,1,4,0
780,128103,30544,1,1,4,0
